labels,union_support,union_support_text
Abe,0,no support
Bob,0,no support
Carl,0,no support
Dale,2,oppose
Ev,0,no support
Fred,0,no support
Gary,0,no support
Hal,1,support
Ivo,1,support
Jack,1,support
Ken,0,no support
Len,0,no support
Mel,2,oppose
Nan,0,no support
Ovid,1,support
Pat,3,oppose + top manager
Quincy,0,no support
Robin,2,oppose
Steve,3,oppose + top manager
Tom,0,no support
Upton,0,no support
Vic,0,no support
Walt,0,no support
Rick,0,no support
York,0,no support
Zoe,0,no support
Alex,0,no support
Ben,0,no support
Chris,1,support
Dan,0,no support
Earl,0,no support
Fran,0,no support
Gerry,0,no support
Hugh,0,no support
Irv,0,no support
Jim,3,oppose + top manager
